Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
True love first,Richard Curtis,,"Hugh Grant, Lianmne Nissen, Colin Fels, Laura Loura, Emma Thompson, Allen Rickman, Kalar Knight, Thomas Brondi Saste, Bill Nay, Martin McGeeian, Martin Frendan, Chris Marshall, Rodrigo Santoro, Rowwin Ekinson, Billy Bob Yanton, Andrew Lincoln, Lucia Monis, Hick Makaki","Plot, comedy, love",2003/9/7,135,763017,"This is a comedy hodgepodge made of 10 love stories:

The little boy who lost his mother was depressed all day long, and his stepfather didn't know how to comfort.When he learned that Jizi liked the most beautiful girl in school, he warmly encouraged his son to chase.In order to win the attention of the little girl, the little boy practiced the drums and drums, just to perform on the same stage at the Christmas party.He was brave, and even broke through the airport's security area for the last record.

The mother of the two children faced the marriage crisis.The husband was derailed and gave the necklace to other women. She was only a CD of her loved female singer.She found an excuse to hide into the bedroom and sobbed in the singing.Turning up, he smiled exaggeratedly, greeted the face of the beautiful girl loved his son.The husband finally realized.

Nympho

There are ten such little stories, warming you and my heart."
Bohemian Rhapsody,Brian Singh,,"Ramie Marek, Ben Hardy, Joseph Mezero, Geeimim Lee, Allen Rich, Lucy Pokoton, Aidan Glen, Tom Hollander,Mike Mels, Alon McCask, Meneca Das, Diki Borster, Jack Rose, Max Banner, Kiran Hud Carsto, Ross Green, Bruce McKinlun, Michelle Duncan, Matt Greenwood, Rosie Benjamin, John Ultraman, James Wallace, Vincent Adrian, Ras, RasCornekus, Jonathan Chitam, Michael Cob, Jesus Gallo, Adam Lambert, Horch Leon Martinez, Jason Lanes, Islael路 Ruz","Plot, homosexual, music, biography",2019/3/22,135,638045,"This film is a feast for the queen band, the legendary lead singer Fredi Molury, and the tribute to their music. This is a journey full of love, pain, acceptance and music.

Freddi Molkry (Ramie Marek) was a ordinary porter at Hedsro Airport. He was full of blood to music.Roger Taylor (Ben Hardy), John Dolkel (Joseph Mezero) formed the queen band.This hall -level band from scratch, from alienation to reunion, from trough to peak, as if it was the epitome of Freddy's life.In the last day, Freddy made the most important decision in life -at the greatest ""saving life"" large rock music concert in the history of music, all the blood was put on the singing."
rain Man,Barry Lenneson,,"Dustin Hoffman, Tom Cruise, Valeria Gulino, Bonnie Hunter, Bess Grant, Jack Hoffman, Chris Marky, Jerald路 R. Mollen, Lunda Jenny, Ralph Simo, Michael D. Roberts, Royz D. Apulagat, Louisa Leskin",Plot,1988/12/16,133,418827,"Charlie (Tom Cruise), his father died, leaving a $ 3 million inheritance.What surprised him was that the inheritance gave all his brother Raymond (Dustin Hoffman) he didn't know.Raymond's name Charlie has never heard of it, and the incident made him angry.He decided to go to find his brother.Who knows that Raymond's residence is in a psychiatric hospital. It turned out that he had autism since he was a child, and his mother was sent to a mental hospital for treatment after his death.Charlie had a calculation, and he took Raymond out of the mental hospital in an attempt to deceive him to transfer his inheritance.

Raymond's habit of living is strange, living in his fantasy world, there are many strange behaviors.In addition, Charlie found the amazing memory ability of Raymond in the coexistence. He tried to use his brother to go to the casino to try his skills to win a lot of bonuses, making Charlie enough to get rid of his poor life.What makes Charlie gain more is that he also got a relationship of slowly heating up. This kind of hand affair is far better than the 3 million inheritance of his original plot."
Green snake,Xu Ke,,"Maggie Cheung, Wang Zuxian, Zhao Wenzhuo, Wu Xingguo, Ma Jingwu, Tian Feng, Liu Ye","Plot, love, fantasy, costume, costume",1993/11/4,99,550439,"The Southern Song Dynasty was a period of difficulty in the shemale.Qing (Maggie Cheung) was rescued by Bai (Wang Zuxian), and the two were called sisters.The sisters were confused and pretended to live in the people. Bai was married to the honest scholar Xu Xian. Qing also saw Xu Xian at the same time, and often seduced Xu Xian with a charming state. Helpless Xu Xian only loved Bai.Bai opened a pharmacy, thinking that he could live a stable life, but Xianxian couldn't stand the teasing of Qing, and found the true identity of the green and white snake, but he was unwilling to leave the Tianzi country at home.Fa Hai learned that the whereabouts of the green and white snake caught Xu Xian.It turned out that Bai gave up to cultivate a positive result for love, and was pregnant.In order to rescue her husband, the second snake started fighting with Fahai ..."
City of Philharmonic,Damien Chazelei,,"Ryan Goslin, Emma Stone, John Legend, Rosmary Dewitt, Fen Witterroc, Jessica Rod, Waterye Sonoya, Kolly Elnands,J. K. Simmons, Tom Ifreter Scott, Magen Feri, Damon Golmpton, Jason Fox, Josh Pinz, Emi Cohen, Terry 路 路Walters, Tom Sheldon, Cordajams, Claid Claudi, D. A. Wallah, Trever Lision, Olivia Hamilton, Anna Chazerre, Marius Dai Fris, Nickel Kulon, Mels Anderson, John Schindman, Varari Lei Miller, Keifan Vanng Hyville, Zoi 路Hall, Dembei Pipien, Sindra 路 car","Plot, love, song and dance",2017/2/14,128,995121,"Mia (Emma Stone of Emma Stone) is eager to become an actor, but so far she is still just an ordinary barista in the coffee shop on the set.Only failed.鏌愭棩锛屽湪涓€鍦烘淳瀵逛箣涓紝绫冲▍閭傞€呬簡鍚嶄负濉炲反鏂眬锛堢憺鎭┞烽珮鏂灄Ryan Gosling 楗帮級鐨勭敺瀛愶紝璧峰垵涓や汉涔嬮棿浜х敓浜嗗皬灏忕殑鐭涚浘锛屼絾寰堝揩锛岀背Ya was attracted by Sebastin's talent and his pure pursuit of jazz. In the end, the two came together.

With the encouragement of Sebastin, Mia resigned from the work of the cafe and concentrated on writing the script for himself. At the same time, in order to obtain a stable income, Sebastin added a popular jazz band., I started playing the modern jazzle that I didn't like, but I didn't expect a hit.Over time, the two who strived to pursue their dreams were getting farther and farther, and they had to make choices between ideals and feelings."
First love this little thing,"Putpeng Provena Sacnacarin, Watson Pok Pengpeng",,"Pingcana Levis Pache, Mario Maorier, Su Dala Bocong, Yinica Saprey Dance, Norte Achana AresLawat Herbat, Putpeng Provena Sacnacarin, Watson Pok Peng","Plot, comedy, love",2012/6/5,118,1006228,"Junior high school students have a flat appearance and average family situation, so they are not valued in school.But she was kind and had a group of dead parties, and her life was happy.One day, she met the handsome senior A Liang (Mario Mauro Maurer), who was sprung up and could not curb.She likes to watch him play football and watch him take pictures.In English class, she kept expressing her admiration for Aliang to the dead party.However, the English teacher pointed out that she was useless except English.When I got home, my uncle came from the United States to his father, saying that if she could go to the first school, she could go to the United States.So she pressed her determination to work hard.One day, when Xiaoshui and others were buying drinks, they met the basketball players and cut into the team.A Liang came out, taught each other for them, and scolded the principal.Xiao Shui also heard for the first time that A Liang's father retired because of the loss of the penalty and understood the pain in his heart.Because the dance team was prepared for the beauty, Xiao Shui and other sisters were ready to show their skills in the drama club. I did not expect that the senior would also come to this community.The two also played the prince and princess. Will their relationship be developed?Nympho"
Crazy Max 4: Rage Road,George Miller,,"Tom Hadi, Charliez Selon, Nicholas Holt, Huggis Byne, Josh Hurman, Nathan Jones, Zo Crovitz, Rosie HaminsinDon-Whiteli, Lili Ji, Abi Lili, Cosney Eaton, Angus Sampon, Richard Carter, Meghan Gal, Sean Hap","Action, science fiction, adventure",2015/5/14,120,557675,"In the future world, the shortage of water resources has triggered a continuous war.People fight each other and compete for limited resources, and the earth has become a bloody killing battlefield.The horrible faceless Joe established a powerful armed kingdom in the Gobi Valley. The warrior of Zhanlang driving a cutting -edge weapon with his hands was plundered, killing unreasonable, and even made his child a war machine.In a recent operation, the unintelligo -Joe's strong war will defeat Freoa (Charlize Theron Charlize Theron).After experiencing fierce chasing and destroying strong sandstorms, Ferioza and Max (Tom Hardy), who were blood owners, were forced to go on the road, and there were not only the chase of the undead Joe, but alsoThe heavy soldiers of gasoline town and bullet farm chased.

In the end of the end of the world, a comprehensive outbreak ..."
AI,Steven Speelberg,,"Haili Joe Osmont, Francis Akonner, Sam Lotz, Jack Thomas, Jeed Roman, William Hit, Liang Zhenbang, Clark Graig, Kevin Susmann, Tom Gallop, Eugene Osmart, Epsle Greson, Matt Winston, Sabrina Gedvich, Dio Greenli","Plot, science fiction",2001/6/29,146,466373,"In the middle of the 21st century, due to the greenhouse effect, the northern and South Pole glaciers melted, and many cities on the earth were flooded.At this time, human technology has been highly developed, and artificial intelligence robots are one of the science and technology methods of humans invented to deal with the harsh natural environment. Moreover, robotic manufacturing technology has been highly developed. Advanced robots not only have the appearance of human beings, but also can also be chaotic.Perceive your own existence.

Monica's son Martin was seriously ill and her life was in danger. In order to alleviate the pain of the pain, she adopted a robotic child David (Hai Li Joe Osmont). David's survival mission was to love her.Martin woke up and returned to health. When he returned to his home, a series of things made David ""out of favor"" and was finally abandoned by Monica.

After avoiding the cruel chase of the slaughterhouse of the machine, David began to find his own survival value with the help of a robot lover Joe (Jeede Luo): eager to become a real child and return to Momina's mother.Around the side.No one knows if he can fulfill his wish, reborn and bone becomes a real person, waiting for them is just a bad journey ..."
Terminator 2: Judgment Day,James Cameron,,"Arnold Schwarzenegger, Linda Hamilton, Edward Fulon, Robert Patrick, Al Berne, Joe Morton, Epasha Merxeson, Castro Grara, Danny, Danny路 Cuccase, Jennte Goldstan, Sam Ded Baker, Lesley Hamilton Galen, Peter Schumulum, Tang Reke, Jim Palmer, Gwenda 路 路Dicken, Colin Patrick Link, Nikki Koks, Davon Nixon, Abdul Salam El Razak, Mike Maskat, Dien路 Norris, Charles A. Tamberg, Danny Pierce, Mark Chris Topp Lawrence, Lin Fan, Jor Klemer, Scott Oer Toron, LittleWilliam Williel, Ken Gibbel, Robert Winley, Michael Edwards, Don Stanton, Dan Stanton, Lisa Brinegar, Dalton Abbott, Bret A. Arnold, Martin Deluca","Action, science fiction",1991/7/3,137,356535,"In the previous one, the action of the super computer ""Skynet"" prevented humans from resisting leaders John Conner's birth. After 13 years, before the ""Trial Day"" arrived, ""Skynet"" sent a more advanced biochemical robot T T.-1000 (Robert Patrick) returned to John, Los Angeles, who had grown up in Los Angeles from 2029, at the same time, John also sent a robot T-800 (Arnold Schwarzenegger) to go back to protect young childrenOwn.

At this time, Sara Con also (Linda Hamilton) lived in a spiritual nursing home because of weird words and deeds. John lived with his adoptive parents and had a rebellious behavior.T-800 found them, and won the trust of the two in the process of avoiding the T-1000 chase.

In order to change the future history and save the fate of mankind, Sara, John and T-800 Model 101 found the father of ""Skynet"", Mels Dyson (Joe Morton) to persuade him to destroy all related ""At this time, the police and T-1000 came at the same time, and they fell into many struggles."
Furong Town,Xie Jin,,"Liu Xiaoqing, Jiang Wen, Zheng Zaishi, Zhang Guangbei, Xu Songzi, Zhu Shibin, Liu Liannian","Plot, love",1987/3/5,164,156788,"The film is divided into two episodes of the upper and lower episodes. It tells the beautiful woman Hu Yuyin (Liu Xiaoqing), known as ""Sister Furong"" at the junction of Hunan, Guangdong and Guizhou provinces.Essence

In 1963, with the warm and thoughtful service, Hu Yuyin and her husband Gui Gui (Liu Linian) gradually became the most lively scenery in the morning market in front of the rice tofu stalls.A considerable amount of wealth.The town party branch is also the Li Mangeng (Zhang Guangbei) of Hu Yuyin's brother, Gu Yanshan (Zheng Zaishi), director of the grain station, and the neighbors of the township.When they built a new house to prepare for a while, they welcomed the ""Four Qing Movement"" and have always been jealous of Hu Yuyin's original national camping shop manager, Li Guoxiang (Xu Songzi) and the second stream of Wang Qiu (Zhu Shibin) joined forces and took the opportunity to characterize her ""rich farmers"" in the ""counter -revolutionary five elements"", and sent it to the ""right"" Qin Shutian (Jiang Wen ""who was called the"" Qin Ep hose ""and was now known as the"" Qin Ep hose ""(Jiang Wenzi"".) Clean the street together and Gui Gui died.During the exercise, Li Man Geng betrayed Hu Yuyin's betrayal, and Gu Yanshan had always been honest with the standard of the old revolutionary soldiers.

196 ..."
Love Notebook,Nick Casaviti,,"Ryan Goslin, Ryan McGatams, Gina Rolandz, James Ghana, Starlerta Dublis, Kevin Connoli, Hiner Waquers, Jeffer, JefferLi Knight, Joan Allen, James Maston","Plot, love",2004/6/25,123,701974,"A love story that is soaked with bright red and pure white, written on a dull notebook, was told by an old gentleman (James Ghana) over and over again.The old lady (Gina Roland) always listened quietly, curious about the results of questioning.In a nursing home, such an unchanged scene will be staged every day.

On the notebook, the beautiful handwriting records love that happened in that summer.Ellie (Rachel McAches) is a rich person who is rich, and she comes to the town to avoid the summer with her family.In a dreamy playground, Noah (Ryan Goslin) was met.Noah has no money, but lives happily.Ellie learned freedom and laughed at him, and the two quickly fell in love.However, under the obstruction of Eli's parents, the two people in love were separated at the moment of the end of the summer.As Noah's 365 letter was secretly hidden, Ali finally gave up waiting 7 years later.The day before she was about to enter the church, she suddenly saw the white house that Noah had built for herself in the newspaper.All memories, all wake up ...

Perhaps it should be awake, not in the story, but the person listening to the story."
Tiger,Ji La Wuli,,"Louis Defenus, Bulville, Claudio Brook, Andrey Parryi, Klait Brossis, Mike Marshall, Mary Makaya, Pierre Beltan, Benno 路 BennoSterzbach, Mary Duba, Terry Thomas, Siger Rap, Reinhard Cordhof, Hermut Schneid, Paul PredicSpecial, Hans Mell, Juy Grosso, Michelle Morto, Peter Jacob, Ludy Lououa, Noer Dazar, Pierre Russell, Pierre Bastian, Jacques Sabron, Marg Aflil, Jacques Bodad, Gabriel Gobban, Paul Mecer, Henry Greece","Comedy, war",1966/12/8,132,271254,"During World War II, a British aircraft was hit by the Germans during the implementation of the bombing mission, and several British soldiers were forced to parachute and escaped.They made an appointment in the Turkish bathroom and used the codename ""楦?楦?楦? as the joint code."
Xinlongmen Inn,,,,,2012/2/24,88,,
shameless bastard, the painter, commander and the Central Captain successfully met in the bathroom. After several times, the British soldiers finally took their heads.Several people who did not know they originally formed a life and death alliance, and launched a game of life and death with the enemy.At the same time,2009/5/20,153, funny," and fighting together in order to escape the mouth of the tiger."""
Luo Shengmen,Li Huimin,,"Zhang Manyu, Lin Qingxia, Liang Jiahui, Zhen Zidan, Xiong Xinxin, Liu Ye, Ren Shiguan, Wu Qihua, Yuan Xiangren, Xu Jinjiang, Zheng Xiyi, Wang Tongchuan, Wang Weishun, Cai Hao, Cai Hao","Action, love, martial arts, costumes",1950/8/26,88,466433,"In the middle of the Ming Dynasty, the eunuch's authority, the East Factory Cao Shaoqin (Zhen Zidan) faked the imperial decree and killed Zhongliang Yang Yuxuan, and wanted to cut grass and kill his descendants.After the heroine Qiu Moyan (Lin Qingxia), the rivers and lakes, He Hu, and others fled to the Longmen Inn in the Border Desert after rescue the descendants of Zhongliang, and met with Yang Yuxuan's Huai'an (Liang Jiahui) under Yang Yuxuan.Longmen Inn is a black shop. The boss gold inlaid jade (Maggie Cheung) uses the troubled times and uses beauty and coquettish bait to kill people to gather money to gather money, but she moves the handsome Zhou Huai'an.In order to find out the secret lane hidden in the Dragon Gate Inn, Zhou Huai'an will plan and promise to get married with Jin Jiyu.

The cave house is a candle night, and the upstairs Zhou Huai'an and Jin Jiyu have their hearts in secret. Qiu Moyan, He Hu, and others downstairs also started a bright fight with the Dongchang ""walking dogs""."
Berry on the cliff,Quentin Tasanino,,"Brad Pitt, Melani Roland, Christopher Valz, Ella Rose, Michael Fasbionde, Dian Cruag, Daniel Bruch, Til Schwig, Goth路 Bucker Had, Yaki Ido, B. J. Novak, Ogin Dum, August Dihn, Dney Minosie, Silvist Grot,Martin Utec, Mike Mels, Julie Derees, Richard Smel, Alexander Ferin, Rod Taylor, Sonk Monin, Sam Lelvin, Sam Lelvin,Paul Rost, Michael Baccal, Alunte Swelin Surrey, Petra Hartung, Volker Michalowski, Ken Duke, Christian Baker, Anna Sophie Frank, Leiya 路 LeiyaSaudu, Tina Rodriguez, Ludg Peste, Ya Na Parask, Michael Clazz, Lena Bok, Andre Pengwen, Sebastian 路Hook, Christian Brookina, Helma Echikhne, Patrick Elias, Eva Le Bao, Wilfred Hohholdog, Michael ScheelZo Casterari, Bella B. Fissenheimer, Noemi Besedes, Elena Cardina, Jack Garberry, Samuel Jackson, Harvi KateRichard Nixetro, Niko Novick, Aleksandrs Petukhovs, Brendan Potter, Nikki Rapp, Sabrina Rattey, Quentin Truntino, VITUS WIESER","Plot, crime",2020/12/31,101,504984,"The story is divided into five chapters.During the Second World War, Germany occupied France, and the Germans of the Germans (Christopher Christoph Waltz) was known as the ""Jewish hunter"". During a slaughtering operation, the girl Susana (M茅lanie Laurent) escaped.At the same time, the eight American Jewish soldiers sneaked into Germany to assassinate German soldiers under the leadership of Lieutenant Ordo (Brad Pitt).Miscellaneous.Three years later, Susanna came to Paris to inherit her aunt's movie theater and met German fighting hero. The starring star of the film ""Glory of the National"" Friedrick (Daniel Bruch Daniel Br眉hl).Friedric, who fell in love with Susanna at first sight, persuaded Germany to Propaganda Minister Joseph Gobel (Sylvester Groth) in Susanna's premiere ""National Glory"", Hitler (Martin wuttkeJie) I will also attend.Susana decided to burn the theater by the screening opportunity; in ..."
Beast -like love,Kurosawa,,"Sanboa Minlang, Kyoko, Moriya, Shimura Qiao, Qianqiu Shi, Uenian Yoshiro, Muchi, Kagoda Kyoto","Plot, suspense, crime",2022/2/22,124,330754,"Luo Shengmen, the south gate of Kyoto, Japan.The monk of Yunyou, the cutting of the firewood and the beggar avoided the rain under the gate. The three people chatted, the topic started, and the prelude to the story opened: a samurai and his wife passed by the mountains and encountered it.The wife was insulted and the samurai was killed.How to cause tragedy?The murderers, wives, and witchs who have witnessed the soul of the samurai have their own opinions.

There is only one truth, but the purpose of each person provides testimony is different.In order to beautify their morals, reduce their sins, and cover up their faults, everyone has begun to describe a version of their own story.The tragedy on the deserted mountain became a fog that could not be seen unclear.

After talking, the rain was sunny.Cutting the firewood found a crying baby beside Luo Shengmen.He decided to adopt it and hugged the baby to the depths of the setting sun."
Yijun,Hayao Miyazaki,,"Shenyue Pomelo loves, Tsuchi Yoshii, Yamaguchi Hiki, Nagao Yimao, Tianhai Yoshiko, George, Miyuki, Yoshino Hyoshi, Naraka Pengzi, left Shishi, feathers are cautious, Hiranga Yami, Bridge Wangmei","Animation, fantasy, adventure",1997/10/24,106,527890,"The 5 -year -old Zong Jie grew up in a small seaside town, and his home was on the cliff in the sea.One day, Zong Jie picked up a waste glass bottle that was rushed to the waves, which contained a trapped little goldfish.The little goldfish is named Bonny. She is the daughter of the Mermaid Queen. She secretly drove the jellyfish and hit it into the bottle.Zong Jie brought Bonny back to his home and raised it in a plastic basin.Poeni lived well in Zongjie's house. She liked Zongjie very much, and Zongjie also liked her.However, the happy day passed quickly, and Bonny's father, Fujimoto, brought his daughter back to the bottom of the sea.Fujimoto was a magician, and later fell in love with the Mermaid Queen to become a resident of the sea floor.

After Bonny returned home, she missed Zongjie, and she made a bold decision -she wanted to become adults and be with Zongjie.With the help of my sisters, Bonny stole his father's magic weapon and swim to the human world.Unexpectedly, the water of life that contains dangerous magic is out of control.As a result, the sea water skyrocketed, the storm was crazy, and the sisters became terrible giant fish.

The small town of the beach was flooded, and Bonny did not expect that his beautiful wish has attracted such a big disaster.Can she save Zongjie?"
The night when the comet came,Tomai Yutai,,"Putian Jianghui, there are villages, Hosada Jiayang, Kiyagaka, Oda, Oda, Oda Hyezi, Iwaki, Kobayashi, Han Yinhimi, Nakasaki Min, Xiaojiu Baoshou people, Takino Gongmei, Sen Youzuo, Sen Youzuo, Guchuan Qinyin, Shinohara Yukan, Hachi Yari Sa, Hiroshi Sato, History History of Okabe, Takihara Shili, Fukuyama Hoshima, Takurahara Yoshimo, Yuyano Xiangping, Sato Ling","Plot, love",2013/9/19,89,693977,"The subway station in the middle of the night had missed the two young people of Yamin Yinmai (Putian Jiehui) and Batu Silk (with village frames).They met to a nearby coffee shop and chat about literature, movies and their hobbies.What surprises them is that both people are habit, hobbies, or ideas are extremely similar, as if they are another themselves, so they gradually feel good about each other.After that, they met again and became a couple.After graduating from college, entering the society, wheat and small silk are obeyed.It's just that real life has sharpened the will and love of young people.The wheat was forced to temporarily abandon his dream of painting and became an office worker. The increasingly constrained life also weakened them to require the ideal life.

Unconsciously, the two people who used to be so co -produced farther away and became the most familiar strangers ..."
Harry Potter and Death Holy Instrument (Part 1),Andrew Nikor,,"Issan Hawk, Uma Thoman, Jude Roman, Allen Akin, Gor Widar, Sand Berberry, Laine Dien, Jane Brook, Elias路 Cotus, Maria Rudorf, Gauna Dimon, Blair Andwood, Marson Ganbu, William Lee Scott, Onest Bogin, Tony CharlesHerb, Ken Marino, Gabriel Ryes, Dien Norris, Dan Garfen, Greg Stero, Elizabeth Dennehy, Chad Cristian, George Marshall Ruge","Plot, science fiction, thriller",2010/11/19,146,318310,"In the future world, the power of science and technology is better than everything, and genes determine fate, and almost become the law of gold.Unfortunately, Vincent (Ethan Hawke) is a person with bad genes. Since his birth, he has determined the defects of myopia and heart disease, and he can only live to 30 years old.So his parents added a younger brother with excellent genes to Vincent.

Vinson's dream was roaming space, but the harsh genes made him unable to dream until he met Jude Law (Jude Law) in the center of space.Jerom has an excellent gene, but paralyzed in an accident.The two decided to change their identity, Vincent tried to hide his genetic information, and carefully cleaned his dander hair every day without exposing any clues.On the other hand, Jerom helped him to prepare gene items that need to be checked in unprecedentedly.The matter progressed very smoothly, but a murder and a eyelashed made the plot exterior."
Flower ring under high mountains,James Ward Bocott,,"Emily Barbini, Merry Stroch, Nicholas Bandden, Lawren Scarfaria, Elizabeth Grace, Hugo Amsterrand, Alex ManujiianLauren Mach","Science fiction, suspense, thriller",1984,146,618550,"On a quiet night, young woman Emily Baldoni (Emily Baldoni) drove to a friend's house to attend the party.Earlier, she called her boyfriend while driving, but the call suddenly interrupted, and her mobile phone screen was inexplicable.This incident made Emily's heart rising faintly, because a comet was just close to the earth that night, and a legend that she heard a long time ago made her have an ominous premonition for the comet's arrival.Later, friends took a seat. Everyone talked with each other and talked about the situation. Although there were many inexplicable and abnormal clues in the words, they were all passed by by the area.Suddenly, the lights died.When Guangming came again, everyone found that only one family nearby was still on the light, and the lighting lights were sitting at home ...

This film won the Black Tulip Award for the 2014 Amsterdam Fantasy Film Festival."
Tomb of Fireflies,David Yutz,,"Daniel Red Creff, Emma Watson, Robert Grindot, Helena Burch Carter, Ralph Fins, Bill Nay, John Hit, Allen 路Rickman, Emida Sandon, Feroa Xiao, Bonnie White, Juli Wats, Michel Felley, Jamie Campbell Ball","Fantasy, adventure",1988/4/16,89,614990,"""Harry Potter and Death Saint"" small station http://site.douban.com/108361/

After Dunbaoli died, Voldemort (Ralph Fiennes) invaded the Magic School with the Death Eaters, and the Ministry of Magic was also controlled by Voldemort's minions.On the occasion of Harry Potter (Daniel Read Cleve Daniel Radcliffe), a member of the Phoenix and a friend escorted him back to the buddy residence of the Phoenix, but this was immediately suffered by the Death Eaters.Destructible blow.Harry and Ron (Rupert Grint) and Hermione (Emma Watson) of Hermione (Emma Watson) fled, and continued to look for Voldemort's deeds according to Dumbledore's entrustment.The threat of death is around, and they have to face the test of friendship.In the process of looking for the method of destroying theulga, the veil of the death of the death of the death was gradually unveiled.

At the same time, in order to settle Harry to death, Voldemort was also looking for the last death.The final decisive battle is coming ..."
Better Dreamer,Xie Jin,,"Lu Xiaohe, Tang Guoqiang, He Wei, Tong Chao, Garker, Wang Yumei, Liu Yansheng, Siqin Gaowa, Ni Dahong, He Yi, Shi Yilan, Li Danjun, Guan Zongxiang, Li Zhenqi, Hong Jun, Hong Jun, Hong Jun","Plot, war",2013/12/25,114,109689,"Liang Sanxi (Lu Xiaohe), who was stationed in Guangyuan, Sichuan Guangyuan (Lu Xiaohe), was postponed by the instructor Zhao Mengsheng (Tang Guoqiang), who was transferred from the military and political department.Walk.In 1979, Zhao Mother Wu Shuang (Liu Yansheng) learned that the Montana troops were going to the Vietnam to fight and stepped up the supervision.Geng's ribbonist Jin Kailai (He Wei) heard the fire three feet after hearing that, and threatened to go to Beijing at his own expense.The troops went to the Yunnan border, and Wu Shuang described the army commander Lei Zhen (Tong Chao) to adjust Meng Sheng back to the rear ..."
Matrix Empire 2: Reinstalled into the battlefield,Gao Xunxun,,"Chen Jiu, Shiraishi Aya, Shimahara Ryoko, Yamaguchi Zhu Mei, Duan Tianhong San","Plot, animation, war",2003/7/18,138,417370,"The US -Japan War broke out. The 14 -year -old Qing Tai escaped with her younger sisters. When they arrived at the air -raid cave, their mother was seriously injured and shortly after a long time.The two brothers and sisters have since lived their lives.They had to rely on their mother's sisters. Even though they gave all the family in the family to the aunt, the more they felt like the food was finished.Life in the fire smoke is not good. Qing Tai steal food for her sister, but the sister is still seriously malnourished ..."
Miracle boy,Ben Steler,,"Ben Steller, Christine Wigg, Adam Scott, Sien Pan, Catherine Hayne, Tyrence Bernie Hanes, Paul Fizeelrad, Jon 路 Jon 路Dali, Joey Slunic, Grace Rex, Alex Ahmu, Amanda Norton, Adrian Martin, Shirley Micrine, Emi SteelLe, Stuart Confeld, Olaville Dali Olavson, Sorchrus, Sigruson, Gunna Hegson, Kais Lennox, Conan Opplaining, Andy Rickt, Anthony Desio, Paton Oswalt, Richard De Dorianko, Matt Levin, Graig Speis, Mari Cosko, Matthew Guli, Rosemary Howard, Ilan Chris Feld, Anna Kuchima","Plot, comedy, adventure",2018/1/19,113,543109,"Watt Mictel (Ben Stiller) is a film washing manager who has worked in Life Magazine for 16 years.Wig Kristen Wiig) spoke to each other. In the face of life, he was like a bystander.Until one day the company was acquired, the magazine needs to make the cover of the last issue, and the key to the success of the cover is to find a film of the wild photographer Shangen (Sien Pennnn).Lir, she and her mother (Shirley Maclaine) on her and her mother (Shirley Maclaine), set up a real adventure, Iceland, Sea, Himalayan Mountain ... Walter's white dream is far less magnificent."
Mars rescue,"La Na Wozki, Lily Wozzki",,"Knu River, Lawrence Fish Bern, Kerry-Ann Mos, Hugo Vivin, Monica Beruch, Hermut Barcatis, Steve 路Bashtany, Kristin Anu, Daniel Berhate, Josephine Benis, Andy Anis, Jada Patt Smith, Zou Zhaolong, Eli Davis, Na Na, NaXu Egyton, Gloolia Foster, David Franklin, Nona Gaye, Roy Jones, David Kild, Rander Duke Kim, ChristeffCarbie, Nazanier Lis, Harry Lenneis, Robert Mamore, Matt McCom, Robin Navin, David Nori, Ginav Orey, Socrates路 Outo, Harold Perino, Adrian Remeter, Neil Ramet, Robert Read, David Roberts, Kevin Scott, Nikhandro路 Thomas, Gina Toris, Steve Wira, Claimon Watson, Cornell West, Lei Walner, Bernard White, Langbeel Wilson,Anthony Brandon Huang, Anthony Zebi","Action, science fiction",2015/11/25,142,423841,"At the end of the previous one, Noo (Ji Nu Lavis) finally realized his ability and mission. After the rebound was resurrected, he became an omnipotent ""savior"".Mosice), Captain Murphus (Lawrence Fish Berne) returned to Human base Zion, which was warmly welcomed by people.

At this time, the ""mother"" decided to start first, and sent 25,000 electronic squids to attack the Zion base; Murphus, Noo, and Tennie once again entered the ""mother"" to find the ""key"",It is ready to destroy from the inside; and the special service Smith, which was supposed to be destroyed by Noo, seemed to have a problem, separated from the control of the ""mother"", had terrible replication ability, and hindered the Noo's actions."
twenty two,Stephen Daboski,,"Jacob Terrenblai, Julia Roberts, Izabela Victor, Owen Wilson, Noah Youpe, Daniel Rose Russel, Najib Jett, Davidde路 Digers, Mandy Patinjin, Bryce Gazar, El Maijinnon, Tyzorio, James Hughes, Kyle Budokov, Milly 路Davis, Lia Jumat, Kelin Brutkov, Liam Dkinson, Emma Trunblai, Mark Dozla, Richia Berned, J路 Douglas Stewat, Ali Libett, Elica McKeterk, Benjamin Ratner, Jason Mcingnon, Sonia Blaga, Jijieter","Plot, family, children",2017/8/14,99,570047,"Ogob (Jacob Tremblay) is a 10 -year -old boy. Except for wearing a huge space helmet, he and other children of the same age are the same.The helmet hides the scarred face of Ogi because of various surgery. It not only perfectly hides Ogi's fragile and inferior heart, but also successfully prevents Ogi from scaring other children.

Ogi has never been in school. All his cultural knowledge was taught by his mother Isabel (Julia Roberts Julia Roberts) at home.However, Isabel gradually felt that family classrooms could not meet the needs of Ogi. In addition to learning knowledge, Ogi must also learn how to communicate with people other than family members.Among the worries, Isabel sent Ogi into a public school. There, Ogi faced the challenges that must be defeated in his life."
